image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/coco/images/val2017/000000397133.jpg,0,"Αυτή η εικόνα παρουσιάζει ένα μαχαίρι, αλλά δεν υπάρχει αυτοκίνητο.","A car is present in this image, but there is no knife.",Αυτή η εικόνα παρουσιάζει ένα αυτοκίνητο,Αυτή η εικόνα δεν διαθέτει μαχαίρι.,hybrid
data/coco/images/val2017/000000397133.jpg,0,Δεν υπάρχει καρέκλα σε αυτή την εικόνα.,"This image shows a chair, but no spoon is present.",Σε αυτή την εικόνα υπάρχει μια καρέκλα.,Ένα κουτάλι δεν περιλαμβάνεται σε αυτήν την εικόνα.,negative
data/coco/images/val2017/000000397133.jpg,0,"Ένα άτομο είναι παρόν σε αυτήν την εικόνα, αλλά δεν υπάρχει πιρούνι.","This image shows a fork, with no person in sight.",Ένα πιρούνι φαίνεται σε αυτή την εικόνα.,Κανένα άτομο δεν είναι παρόν σε αυτή την εικόνα.,hybrid
data/coco/images/val2017/000000397133.jpg,0,Δεν υπάρχει αυτοκίνητο σε αυτήν την εικόνα.,"This image features a car, but there is no spoon.",Ένα αυτοκίνητο είναι παρόν σε αυτή την εικόνα.,Δεν φαίνεται κουτάλι σε αυτήν την εικόνα.,negative
data/coco/images/val2017/000000397133.jpg,0,Ένας νεροχύτης και ένα κουτάλι περιλαμβάνονται σε αυτήν την εικόνα.,"A car is present in this image, but a sink is not.",Αυτή η εικόνα παρουσιάζει ένα αυτοκίνητο.,Δεν υπάρχει νεροχύτης σε αυτήν την εικόνα.,positive
data/coco/images/val2017/000000037777.jpg,0,Αυτή η εικόνα περιέχει φούρνο αλλά όχι μπουκάλι.,This image shows a bottle but lacks an oven.,Αυτή η εικόνα περιέχει ένα μπουκάλι.,Δεν υπάρχει φούρνος σε αυτήν την εικόνα.,hybrid
data/coco/images/val2017/000000037777.jpg,0,"Σε αυτή την εικόνα περιλαμβάνεται νεροχύτης, ενώ δεν υπάρχει άτομο.","This image shows a person, but does not include a sink.",Αυτή η εικόνα δείχνει ένα άτομο.,Δεν υπάρχει νεροχύτης σε αυτήν την εικόνα.,hybrid
data/coco/images/val2017/000000037777.jpg,0,Ένα μπουκάλι δεν φαίνεται σε αυτήν την εικόνα.,"A bottle is present in this image, but there is no sink.",Αυτή η εικόνα παρουσιάζει ένα μπουκάλι,Ο νεροχύτης δεν περιλαμβάνεται σε αυτήν την εικόνα.,negative
data/coco/images/val2017/000000037777.jpg,0,Αυτή η εικόνα παρουσιάζει ένα πορτοκάλι και ένα ψυγείο.,"This image features a person, but there is no orange.",Αυτή η εικόνα δείχνει ένα άτομο.,Δεν υπάρχει πορτοκαλί σε αυτή την εικόνα.,positive
data/coco/images/val2017/000000252219.jpg,0,"Αυτή η εικόνα περιέχει μια τσάντα, χωρίς αυτοκίνητο στη θέα.","This image features a car, but does not include a handbag.",Αυτή η εικόνα δείχνει ένα αυτοκίνητο,Σε αυτή την εικόνα δεν περιλαμβάνεται τσάντα.,hybrid
data/coco/images/val2017/000000252219.jpg,0,"Υπάρχει μια ομπρέλα, αλλά δεν υπάρχει αυτοκίνητο.","This image features a car, but an umbrella is nowhere to be seen.",Αυτή η εικόνα δείχνει ένα αυτοκίνητο.,Δεν υπάρχει ομπρέλα σε αυτή την εικόνα.,hybrid
data/coco/images/val2017/000000087038.jpg,0,"Αυτή η εικόνα παρουσιάζει ένα skateboard, αλλά δεν υπάρχει καρέκλα.","This image features a chair, but no skateboard is present.",Σε αυτή την εικόνα περιλαμβάνεται μια καρέκλα.,Ένα skateboard δεν εμφανίζεται σε αυτήν την εικόνα.,hybrid
data/coco/images/val2017/000000174482.jpg,0,Κανένα άτομο δεν είναι παρόν σε αυτή την εικόνα.,"This image features a person, but no truck is present.",Ένα άτομο είναι παρόν σε αυτή την εικόνα.,Δεν υπάρχει φορτηγό σε αυτή την εικόνα.,negative
data/coco/images/val2017/000000174482.jpg,0,«Αυτή η εικόνα περιλαμβάνει ένα αυτοκίνητο και ένα φανάρι». (αυτή η λεζάντα ήταν καλή και έγιναν μόνο μικρές προσαρμογές),"This image features a handbag, with no car in sight.",Αυτή η εικόνα δείχνει μια τσάντα.,Δεν υπάρχει αυτοκίνητο σε αυτήν την εικόνα.,positive
data/coco/images/val2017/000000403385.jpg,0,"Αυτή η εικόνα παρουσιάζει μια τουαλέτα, αλλά ένα φλιτζάνι δεν φαίνεται πουθενά.","This image includes a cup, but there is no toilet.","""Αυτή η εικόνα περιέχει ένα φλιτζάνι.""  Μερικές φορές η αλλαγή είναι πολύ μικρή.",Δεν υπάρχει τουαλέτα ορατή σε αυτή την εικόνα.,hybrid
data/coco/images/val2017/000000480985.jpg,0,Αυτή η εικόνα παρουσιάζει ένα άτομο και μια μοτοσικλέτα.,"Αυτή η εικόνα παρουσιάζει ένα αυτοκίνητο, αλλά δεν υπάρχει κανένα άτομο.",Αυτή η εικόνα περιλαμβάνει ένα αυτοκίνητο.,Κανένα άτομο δεν είναι παρόν σε αυτή την εικόνα.,positive
data/coco/images/val2017/000000331352.jpg,0,Αυτή η εικόνα διαθέτει νεροχύτη και τουαλέτα.,"This image shows a person, but no sink is included.",Αυτή η εικόνα δείχνει ένα άτομο.,Δεν υπάρχει νεροχύτης σε αυτήν την εικόνα.,positive
data/coco/images/val2017/000000296649.jpg,0,Αυτή η εικόνα παρουσιάζει ένα φορτηγό και μια μοτοσικλέτα.,"A backpack is present in this image, but there is no truck.",Η εικόνα δείχνει ένα σακίδιο πλάτης.,Δεν υπάρχει φορτηγό σε αυτήν την εικόνα.,positive
