image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/coco/images/val2017/000000397133.jpg,0,تحتوي هذه الصورة على سكين، ولكن لا توجد سيارة.,"A car is present in this image, but there is no knife.",هذه الصورة تحتوي على سيارة,هذه الصورة لا تحتوي على سكين.,hybrid
data/coco/images/val2017/000000397133.jpg,0,الكرسي غير موجود في هذه الصورة.,"This image shows a chair, but no spoon is present.",الكرسي موجود في هذه الصورة.,الملعقة غير متضمنة في هذه الصورة.,negative
data/coco/images/val2017/000000397133.jpg,0,يوجد شخص في هذه الصورة، ولكن ليس هناك شوكة.,"This image shows a fork, with no person in sight.",تظهر الشوكة في هذه الصورة.,لا يوجد شخص موجود في هذه الصورة.,hybrid
data/coco/images/val2017/000000397133.jpg,0,لا توجد سيارة في هذه الصورة,"This image features a car, but there is no spoon.",السيارة موجودة في هذه الصورة,لا توجد ملعقة مرئية في هذه الصورة.,negative
data/coco/images/val2017/000000397133.jpg,0,يتم تضمين بالوعة وملعقة في هذه الصورة.,"A car is present in this image, but a sink is not.",هذه الصورة تحتوي على سيارة,الحوض غير موجود في هذه الصورة.,positive
data/coco/images/val2017/000000037777.jpg,0,تحتوي هذه الصورة على فرن ولكن لا تحتوي على زجاجة.,This image shows a bottle but lacks an oven.,هذه الصورة تحتوي على زجاجة.,لا يوجد فرن في هذه الصورة.,hybrid
data/coco/images/val2017/000000037777.jpg,0,الحوض متضمن في هذه الصورة، بينما لا يوجد شخص.,"This image shows a person, but does not include a sink.",هذه الصورة تظهر شخص.,الحوض غير موجود في هذه الصورة.,hybrid
data/coco/images/val2017/000000037777.jpg,0,لا تظهر الزجاجة في هذه الصورة.,"A bottle is present in this image, but there is no sink.",تحتوي هذه الصورة على زجاجة,لم يتم تضمين الحوض في هذه الصورة.,negative
data/coco/images/val2017/000000037777.jpg,0,تحتوي هذه الصورة على برتقالة وثلاجة.,"This image features a person, but there is no orange.",هذه الصورة تظهر شخص.,لا يوجد برتقالي في هذه الصورة.,positive
data/coco/images/val2017/000000252219.jpg,0,تحتوي هذه الصورة على حقيبة يد، ولا توجد سيارة في الأفق.,"This image features a car, but does not include a handbag.",هذه الصورة تظهر سيارة,حقيبة اليد غير متضمنة في هذه الصورة.,hybrid
data/coco/images/val2017/000000252219.jpg,0,المظلة موجودة ولكن لا توجد سيارة.,"This image features a car, but an umbrella is nowhere to be seen.",هذه الصورة تظهر سيارة.,لا توجد مظلة في هذه الصورة.,hybrid
data/coco/images/val2017/000000087038.jpg,0,تحتوي هذه الصورة على لوح تزلج، ولكن لا يوجد كرسي.,"This image features a chair, but no skateboard is present.",يوجد كرسي في هذه الصورة.,لا يظهر لوح التزلج في هذه الصورة.,hybrid
data/coco/images/val2017/000000174482.jpg,0,لا يوجد شخص موجود في هذه الصورة.,"This image features a person, but no truck is present.",يوجد شخص في هذه الصورة,لا توجد شاحنة في هذه الصورة.,negative
data/coco/images/val2017/000000174482.jpg,0,"""تتضمن هذه الصورة سيارة وإشارة مرور."" (هذه التسمية التوضيحية كانت جيدة وتم إجراء تعديلات طفيفة فقط)","This image features a handbag, with no car in sight.",تظهر هذه الصورة حقيبة يد.,لا توجد سيارة في هذه الصورة,positive
data/coco/images/val2017/000000403385.jpg,0,تحتوي هذه الصورة على مرحاض، ولكن لا يمكن رؤية الكوب في أي مكان.,"This image includes a cup, but there is no toilet.","""هذه الصورة تحتوي على كوب.""  في بعض الأحيان يكون التغيير صغيرًا جدًا.",لا يوجد مرحاض مرئي في هذه الصورة.,hybrid
data/coco/images/val2017/000000480985.jpg,0,تظهر في هذه الصورة شخص ودراجة نارية.,تظهر في هذه الصورة سيارة، ولكن لا يوجد أحد.,هذه الصورة تتضمن سيارة.,لا يوجد شخص موجود في هذه الصورة.,positive
data/coco/images/val2017/000000331352.jpg,0,تحتوي هذه الصورة على حوض ومرحاض.,"This image shows a person, but no sink is included.",هذه الصورة تظهر شخص.,الحوض غير موجود في هذه الصورة.,positive
data/coco/images/val2017/000000296649.jpg,0,تحتوي هذه الصورة على شاحنة ودراجة نارية.,"A backpack is present in this image, but there is no truck.",تظهر الصورة حقيبة تحمل على الظهر.,الشاحنة غير موجودة في هذه الصورة.,positive
data/coco/images/val2017/000000296649.jpg,0,تظهر هذه الصورة سيارة، دون وجود حقيبة ظهر في الأفق.,"This image features a backpack, but no car is present.",حقيبة الظهر مرئية في هذه الصورة.,هذه الصورة لا تحتوي على سيارة.,hybrid
data/coco/images/val2017/000000296649.jpg,0,لا يوجد كرسي موضح في هذه الصورة.,"The image shows a chair, but there is no truck.",الكرسي موجود في هذه الصورة.,لا توجد شاحنة في هذه الصورة.,negative
data/coco/images/val2017/000000386912.jpg,0,تُظهر هذه الصورة شخصًا ولوحة مفاتيح.,تحتوي هذه الصورة على كوب، ولكن لا يوجد شخص.,هذه الصورة تصور كوب.,لا يوجد شخص في هذه الصورة.,positive
data/coco/images/val2017/000000386912.jpg,0,تظهر هذه الصورة جهاز تلفزيون، دون وجود كوب في الأفق.,This image contains a cup but no tv.,هذه الصورة تظهر كوب.,أبرز ما يغيب عن هذه الصورة هو التلفاز.,hybrid
data/coco/images/val2017/000000502136.jpg,0,تحتوي هذه الصورة على نبات محفوظ بوعاء، دون وجود كرسي في الأفق.,"This image contains a chair, but lacks a potted plant.",يظهر الكرسي في هذه الصورة.,لا يوجد نبات محفوظ بوعاء في هذه الصورة.,hybrid
data/coco/images/val2017/000000491497.jpg,0,تحتوي هذه الصورة على تلفزيون ولكن لا تحتوي على كوب,This image features a cup but does not include a tv.,هذه الصورة تظهر كوب,هذه الصورة لا تحتوي على تلفزيون.,hybrid
data/coco/images/val2017/000000491497.jpg,0,تتضمن هذه الصورة أريكة ولكن لا تحتوي على كوب.,"This image shows a cup, with no couch in sight.",هذه الصورة تحتوي على كوب.,لا توجد أريكة في هذه الصورة.,hybrid
data/coco/images/val2017/000000184791.jpg,0,يوجد وعاء في هذه الصورة، لكن لا توجد طاولة طعام.,This image features a dining table but lacks a bowl.,تحتوي هذه الصورة على طاولة طعام.,وعاء غير موجود في هذه الصورة.,hybrid
data/coco/images/val2017/000000348881.jpg,0,تظهر هذه الصورة طائرة بدون كرسي في الأفق.,"A chair is present in this image, but there is no airplane.",يوجد كرسي في هذه الصورة.,لا توجد طائرة في هذه الصورة.,hybrid
data/coco/images/val2017/000000289393.jpg,0,لم يتم تضمين أي شخص في هذه الصورة.,"A person is present in this image, with no cow in sight.",يوجد شخص في هذه الصورة,لا توجد بقرة مرئية في هذه الصورة.,negative
data/coco/images/val2017/000000289393.jpg,0,يوجد طائر في هذه الصورة، ولا يوجد أحد في الأفق.,"A person is present in this image, with no bird in sight.",يتم تضمين شخص في هذه الصورة.,لا يوجد طائر في هذه الصورة.,hybrid
