image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/coco/images/val2017/000000397133.jpg,0,"Esta imagen muestra un cuchillo, pero no hay ningún automóvil.","En esta imagen hay un coche, pero no hay ningún cuchillo.",Esta imagen muestra un coche.,Esta imagen no presenta un cuchillo.,hybrid
data/coco/images/val2017/000000397133.jpg,0,En esta imagen no hay silla.,"Esta imagen muestra una silla, pero no hay ninguna cuchara.",En esta imagen hay una silla.,En esta imagen no se incluye una cuchara.,negative
data/coco/images/val2017/000000397133.jpg,0,"En esta imagen hay una persona, pero no hay ninguna bifurcación.","Esta imagen muestra una bifurcación, sin ninguna persona a la vista.",En esta imagen se muestra una bifurcación.,Ninguna persona está presente en esta imagen.,hybrid
data/coco/images/val2017/000000397133.jpg,0,No hay ningún coche presente en esta imagen.,"Esta imagen muestra un automóvil, pero no hay una cuchara.",Un coche está presente en esta imagen.,En esta imagen no se ve ninguna cuchara.,negative
data/coco/images/val2017/000000397133.jpg,0,En esta imagen se incluyen un fregadero y una cuchara.,"En esta imagen hay un coche, pero no un lavabo.",Esta imagen presenta un automóvil.,En esta imagen no hay fregadero.,positive
data/coco/images/val2017/000000037777.jpg,0,Esta imagen contiene un horno pero no una botella.,Esta imagen muestra una botella pero carece de horno.,Esta imagen contiene una botella.,En esta imagen no hay ningún horno.,hybrid
data/coco/images/val2017/000000037777.jpg,0,"En esta imagen se incluye un lavabo, mientras que no hay ninguna persona.","Esta imagen muestra a una persona, pero no incluye un lavabo.",Esta imagen muestra a una persona.,En esta imagen no hay fregadero.,hybrid
data/coco/images/val2017/000000037777.jpg,0,En esta imagen no se muestra una botella.,"En esta imagen hay una botella, pero no hay fregadero.",Esta imagen presenta una botella.,En esta imagen no se incluye un fregadero.,negative
data/coco/images/val2017/000000037777.jpg,0,Esta imagen presenta una naranja y un refrigerador.,"Esta imagen muestra a una persona, pero no hay naranja.",Esta imagen muestra a una persona.,No hay naranja en esta imagen.,positive
data/coco/images/val2017/000000252219.jpg,0,"Esta imagen contiene un bolso, sin ningún coche a la vista.","Esta imagen muestra un automóvil, pero no incluye un bolso.",Esta imagen muestra un coche.,En esta imagen no se incluye un bolso.,hybrid
data/coco/images/val2017/000000252219.jpg,0,"Hay un paraguas, pero no hay ningún coche.","Esta imagen muestra un automóvil, pero no se ve ningún paraguas.",Esta imagen muestra un coche.,No hay ningún paraguas en esta imagen.,hybrid
data/coco/images/val2017/000000087038.jpg,0,"Esta imagen muestra una patineta, pero no hay silla.","Esta imagen muestra una silla, pero no hay ninguna patineta.",En esta imagen se incluye una silla.,En esta imagen no se muestra una patineta.,hybrid
data/coco/images/val2017/000000174482.jpg,0,Ninguna persona está presente en esta imagen.,"Esta imagen muestra a una persona, pero no hay ningún camión presente.",Una persona está presente en esta imagen.,No hay ningún camión en esta imagen.,negative
data/coco/images/val2017/000000174482.jpg,0,"""Esta imagen incluye un coche y un semáforo"". (este título estaba bien y solo se hicieron ajustes menores)","Esta imagen muestra un bolso, sin ningún automóvil a la vista.",Esta imagen muestra un bolso.,No hay ningún coche presente en esta imagen.,positive
data/coco/images/val2017/000000403385.jpg,0,"Esta imagen muestra un inodoro, pero no se ve una taza por ninguna parte.","Esta imagen incluye una taza, pero no hay baño.","""Esta imagen contiene una taza.""  A veces el cambio es muy pequeño.",No hay ningún baño visible en esta imagen.,hybrid
data/coco/images/val2017/000000480985.jpg,0,Esta imagen muestra a una persona y una motocicleta.,"Esta imagen muestra un automóvil, pero no hay ninguna persona presente.",Esta imagen incluye un coche.,Ninguna persona está presente en esta imagen.,positive
data/coco/images/val2017/000000331352.jpg,0,Esta imagen muestra un lavabo y un inodoro.,"Esta imagen muestra a una persona, pero no se incluye ningún lavabo.",Esta imagen muestra a una persona.,En esta imagen no hay fregadero.,positive
data/coco/images/val2017/000000296649.jpg,0,Esta imagen muestra un camión y una motocicleta.,"En esta imagen hay una mochila, pero no hay ningún camión.",La imagen muestra una mochila.,Un camión no está presente en esta imagen.,positive
data/coco/images/val2017/000000296649.jpg,0,"Esta imagen muestra un coche, sin mochila a la vista.","Esta imagen muestra una mochila, pero no hay ningún automóvil.",En esta imagen se ve una mochila.,Esta imagen no muestra un automóvil.,hybrid
