image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/coco/images/val2017/000000397133.jpg,0,"Nagtatampok ang imaheng ito ng kutsilyo, ngunit walang kotse na naroroon.","A car is present in this image, but there is no knife.",This image features a car,This image does not feature a knife.,hybrid
data/coco/images/val2017/000000397133.jpg,0,Ang isang upuan ay hindi naroroon sa imaheng ito.,"Ang imaheng ito ay nagpapakita ng isang upuan, ngunit walang kutsara ang naroroon.",A chair is present in this image.,A spoon is not included in this image.,negative
data/coco/images/val2017/000000397133.jpg,0,"Ang isang tao ay naroroon sa imaheng ito, ngunit walang tinidor.","Ang imaheng ito ay nagpapakita ng isang tinidor, na walang taong nakikita.",A fork is shown in this image.,Walang tao ang naroroon sa imaheng ito.,hybrid
data/coco/images/val2017/000000397133.jpg,0,Walang kotse ang naroroon sa imaheng ito.,"Nagtatampok ang imaheng ito ng kotse, ngunit walang kutsara.",A car is present in this image.,No spoon is visible in this image.,negative
data/coco/images/val2017/000000397133.jpg,0,Ang isang lababo at isang kutsara ay kasama sa imaheng ito.,"A car is present in this image, but a sink is not.",This image features a car.,A sink is not present in this image.,positive
data/coco/images/val2017/000000037777.jpg,0,Ang imaheng ito ay naglalaman ng isang oven ngunit walang bote.,Ang imaheng ito ay nagpapakita ng isang bote ngunit walang isang oven.,This image contains a bottle.,No oven is present in this image.,hybrid
data/coco/images/val2017/000000037777.jpg,0,"Ang isang lababo ay kasama sa imaheng ito, habang walang tao.","Ang imaheng ito ay nagpapakita ng isang tao, ngunit hindi kasama ang isang lababo.",This image shows a person.,A sink is not present in this image.,hybrid
data/coco/images/val2017/000000037777.jpg,0,Ang isang bote ay hindi ipinapakita sa imaheng ito.,"Ang isang bote ay naroroon sa imaheng ito, ngunit walang lababo.",This image features a bottle,Ang isang lababo ay hindi kasama sa imaheng ito.,negative
data/coco/images/val2017/000000037777.jpg,0,Nagtatampok ang imaheng ito ng isang orange at isang ref.,"Nagtatampok ang imaheng ito sa isang tao, ngunit walang orange.",This image shows a person.,There is no orange in this image.,positive
data/coco/images/val2017/000000252219.jpg,0,"Ang imaheng ito ay naglalaman ng isang handbag, na walang nakikita ang kotse.","Nagtatampok ang imaheng ito ng kotse, ngunit hindi kasama ang isang handbag.",This image shows a car,Ang isang handbag ay hindi kasama sa imaheng ito.,hybrid
data/coco/images/val2017/000000252219.jpg,0,"Ang isang payong ay naroroon, ngunit walang kotse.","Nagtatampok ang imaheng ito ng kotse, ngunit ang isang payong ay wala nang makikita.",This image shows a car.,There is no umbrella in this image.,hybrid
data/coco/images/val2017/000000087038.jpg,0,"Nagtatampok ang imaheng ito ng isang skateboard, ngunit walang upuan.","Ang imaheng ito ay nagtatampok ng isang upuan, ngunit walang skateboard na naroroon.",A chair is included in this image.,A skateboard is not shown in this image.,hybrid
data/coco/images/val2017/000000174482.jpg,0,Walang tao ang naroroon sa imaheng ito.,"Nagtatampok ang imaheng ito sa isang tao, ngunit walang trak na naroroon.",A person is present in this image.,Walang trak sa imaheng ito.,negative
data/coco/images/val2017/000000174482.jpg,0,"""Ang imaheng ito ay may kasamang kotse at ilaw ng trapiko."" (Ang caption na ito ay maayos at tanging mga menor de edad na pagsasaayos ang ginawa)","Nagtatampok ang imaheng ito ng isang handbag, na walang nakikita ang kotse.",This image shows a handbag.,Walang kotse ang naroroon sa imaheng ito.,positive
data/coco/images/val2017/000000403385.jpg,0,"Nagtatampok ang imaheng ito ng isang banyo, ngunit ang isang tasa ay wala nang makikita.","Kasama sa imaheng ito ang isang tasa, ngunit walang banyo.","""This image contains a cup.""  Sometimes the change is very small.",There is no toilet visible in this image.,hybrid
