image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/coco/images/val2017/000000397133.jpg,0,"На этом изображении изображен нож, но нет автомобиля.","На этом изображении присутствует автомобиль, но нет ножа.",На этом изображении изображен автомобиль,На этом изображении нет ножа.,hybrid
data/coco/images/val2017/000000397133.jpg,0,На этом изображении нет стула.,"На этом изображении изображен стул, но нет ложки.",На этом изображении присутствует стул.,Ложка не включена в это изображение.,negative
data/coco/images/val2017/000000397133.jpg,0,"На этом изображении присутствует человек, но развилки нет.","На этом изображении изображена развилка, и ни одного человека не видно.",На этом изображении показана вилка.,На этом изображении нет человека.,hybrid
data/coco/images/val2017/000000397133.jpg,0,На этом изображении нет автомобиля.,"На этом изображении изображена машина, но нет ложки.",На этом изображении присутствует автомобиль.,На этом изображении ложки не видно.,negative
data/coco/images/val2017/000000397133.jpg,0,На этом изображении присутствуют раковина и ложка.,"На этом изображении присутствует автомобиль, но нет мойки.",На этом изображении изображен автомобиль.,На этом изображении раковины нет.,positive
data/coco/images/val2017/000000037777.jpg,0,"На этом изображении изображена духовка, но нет бутылки.","На этом изображении изображена бутылка, но нет духовки.",На этом изображении изображена бутылка.,На этом изображении нет духовки.,hybrid
data/coco/images/val2017/000000037777.jpg,0,"На этом изображении присутствует раковина, но нет человека.","На этом изображении изображен человек, но без раковины.",На этом изображении изображен человек.,На этом изображении раковины нет.,hybrid
data/coco/images/val2017/000000037777.jpg,0,На этом изображении бутылка не показана.,"На этом изображении присутствует бутылка, но нет раковины.",На этом изображении изображена бутылка,На этом изображении раковина не представлена.,negative
data/coco/images/val2017/000000037777.jpg,0,На этом изображении изображены апельсин и холодильник.,"На этом изображении изображен человек, но нет оранжевого цвета.",На этом изображении изображен человек.,На этом изображении нет оранжевого цвета.,positive
data/coco/images/val2017/000000252219.jpg,0,"На этом изображении изображена сумочка, автомобиля не видно.","На этом изображении изображен автомобиль, но нет сумочки.",На этом изображении изображен автомобиль,Сумочка в этом образе не представлена.,hybrid
data/coco/images/val2017/000000252219.jpg,0,"Зонтик есть, а машины нет.","На этом изображении изображена машина, но зонта нигде не видно.",На этом изображении изображен автомобиль.,На этом изображении нет зонтика.,hybrid
